Week_Ended,B_total,E_total,F_total,D_total
2022-04-29,1923273.3915836222,199941.38190520837,2755.9700729518845,6912350.9125839975
2022-05-06,1927184.797224142,200840.90850698756,2769.016697342963,6932576.6921134945
2022-05-13,1931158.8666121343,201712.5334124539,2780.8403548063475,6952370.216993237
2022-05-20,1935202.3256831414,202570.84940727171,2791.6150372930433,6971499.590906303
2022-05-27,1939329.4645461524,203436.87168738828,2802.1718517703166,6990379.146652459
2022-06-03,1943543.191767031,204312.81430233302,2813.0623799526556,7009644.468600806
2022-06-10,1947825.378575487,205195.40130740323,2824.0735127309235,7029360.219234843
2022-06-17,1952160.6707151188,206081.37978236907,2835.1965845918367,7049384.613036904
2022-06-24,1956540.1720497934,206957.8671336631,2846.1967977094555,7069601.456277415
2022-07-01,1960969.545893251,207817.93607000148,2856.621940242386,7089759.694796508
2022-07-08,1965455.6659555272,208665.61915642885,2866.349139659076,7109635.15313098
2022-07-15,1970003.7073787693,209510.79831047807,2875.667541942454,7129273.96249483
2022-07-22,1974618.84538829,210360.08609343748,2884.980652501872,7148983.8956331
2022-07-29,1979295.7283482356,211212.83957245445,2894.3470428586184,7168953.813835414
2022-08-05,1984025.233150932,212067.88433245945,2903.7174079019474,7189151.504178118
2022-08-12,1988800.1647441504,212920.55220886122,2913.0465905426713,7209515.075253747
2022-08-19,1993619.4258503045,213765.2267292085,2922.131648412964,7229945.368435519
2022-08-26,1998486.2612039156,214601.30536461395,2930.8117652119527,7250306.242022188
2022-09-02,2003403.4393780138,215432.70858656548,2939.1338085281086,7270545.227796271
2022-09-09,2008373.866169919,216264.1285199945,2947.3017553695895,7290764.381872395
2022-09-16,2013397.226485064,217097.05576153303,2955.4422867951644,7311104.983700832
2022-09-23,2018469.1294770604,217931.11882195892,2963.54990980385,7331604.707642859
2022-09-30,2023584.861343054,218764.8754638738,2971.6090477206203,7352238.010315685
2022-10-07,2028741.8740497734,219595.38385209354,2979.552949587195,7372963.891231487
2022-10-14,2033940.6392778405,220420.94277005148,2987.2783581248286,7393716.360909351
2022-10-21,2039182.507260084,221242.54428002844,2994.7543566376016,7414440.989582372
2022-10-28,2044468.8217589515,222062.66124473643,3002.0536884005123,7435151.790930508
2022-11-04,2049800.202991149,222883.00983352138,3009.271496935988,7455918.797680088
2022-11-11,2055175.1040567101,223703.8840198367,3016.438670595693,7476790.704615882
2022-11-18,2060590.806184383,224524.89181110036,3023.551258355119,7497769.346510931
2022-11-25,2066045.1033791539,225344.84513359942,3030.5901672142745,7518837.773808096
2022-12-02,2071537.2729735014,226162.45377404295,3037.5079671386366,7539967.117342053
2022-12-09,2077067.6555266678,226977.55774232355,3044.2675393259697,7561123.146777026
2022-12-16,2082636.7951407162,227791.16794881612,3050.882015097967,7582294.1257644845
2022-12-23,2088245.1073695114,228604.48296462809,3057.4002343057987,7603504.309668658
2022-12-30,2093892.1921481509,229418.06188118714,3063.8573425795325,7624787.142151472
2023-01-06,2099576.7069145134,230231.9173257196,3070.2608235380494,7646155.83777993
2023-01-13,2105297.141909609,231045.65810593806,3076.6064564565945,7667606.315330336
2023-01-20,2111052.5515014394,231858.60935815435,3082.8769088509525,7689126.602754455
2023-01-27,2116842.7084208364,232670.38928200013,3089.048852257207,7710699.190841872
2023-02-03,2122667.7185483966,233481.26663222356,3095.116354437571,7732310.960798188
2023-02-10,2128527.7244844963,234291.88669529746,3101.0980005651363,7753965.563056354
2023-02-17,2134422.6244122344,235102.75403553294,3107.0180347660676,7775679.49639567
2023-02-24,2140351.8179613077,235914.04634168907,3112.888442161739,7797465.614276036
2023-03-03,2146314.401280827,236725.69246694047,3118.711030390056,7819326.28200381
2023-03-10,2152309.588228509,237537.41933561015,3124.481000795353,7841257.365646938
2023-03-17,2158336.9567867653,238348.9496953446,3130.1875944780636,7863250.929854719
2023-03-24,2164396.374514971,239160.27446947276,3135.823127144912,7885298.393778221
2023-03-31,2170487.8118727542,239971.67257492797,3141.3919107388638,7907397.115479086
2023-04-07,2176611.194102498,240783.4832499287,3146.9067035900707,7929552.935332616
2023-04-14,2182766.241778827,241595.9115361842,3152.3780246127603,7951774.147381503
2023-04-21,2188952.4521776927,242409.00868612342,3157.810169208248,7974064.92097242
2023-04-28,2195169.275642205,243222.7013838794,3163.203097880899,7996424.8587702345
2023-05-05,2201416.301777056,244036.8532812663,3168.5531331711445,8018850.821401186
2023-05-12,2207693.3042595456,244851.4014939175,3173.8555811873184,8041338.30463708
2023-05-19,2214000.165379475,245666.44008573817,3179.1100169327706,8063884.201006345
2023-05-26,2220336.788403368,246482.1590042343,3184.3218133689325,8086489.510765875
2023-06-02,2226703.012095673,247298.7245421007,3189.497953951003,8109158.315045563
2023-06-09,2233098.5571216303,248116.22359770996,3194.642945620833,8131894.132068964
2023-06-16,2239523.071199792,248934.6677874846,3199.7584745162785,8154698.057958512
2023-06-23,2245976.2313091927,249754.01471758727,3204.8440536348908,8177569.243788207
2023-06-30,2252457.8073208905,250574.22322191505,3209.8977848452855,8200505.690748734
2023-07-07,2258967.6515422533,251395.3169064682,3214.9186381515374,8223505.3473048415
2023-07-14,2265505.654258492,252217.38995766436,3219.9084393848116,8246567.703142215
2023-07-21,2272071.6973076193,253040.55529085267,3224.8710681463504,8269694.289614959
2023-07-28,2278665.6139330557,253864.89635620877,3229.8100844352794,8292887.31731755
2023-08-04,2285287.1857478796,254690.4544461699,3234.727574366888,8316148.135282861
2023-08-11,2291936.1845183377,255517.2348289747,3239.624282138596,8339476.9059075955
2023-08-18,2298612.4184638704,256345.22693086325,3244.4999254645636,8362872.953703536
2023-08-25,2305315.7462566886,257174.43824081492,3249.3540232409987,8386335.246072779
2023-09-01,2312046.0614124313,258004.91411803078,3254.1871361651147,8409863.15014926
2023-09-08,2318803.267865534,258836.7243404158,3259.0012028063397,8433457.046950549
2023-09-15,2325587.255877241,259669.93496775327,3263.798613939334,8457118.08001327
2023-09-22,2332397.889347612,260504.59212760153,3268.5812353997107,8480847.325260688
2023-09-29,2339235.016676531,261340.72038460255,3273.350163617305,8504645.28894686
2023-10-06,2346098.4955298705,262178.32941210456,3278.105838119235,8528511.930097844
2023-10-13,2352988.209405853,263017.4290229429,3282.8483311127084,8552446.874524392
2023-10-20,2359904.0668232953,263858.04453448404,3287.5779357914225,8576449.7487092
2023-10-27,2366845.990356972,264700.21847218927,3292.2956226123815,8600520.57410836
2023-11-03,2373813.903385082,265543.99870880524,3297.0028631926416,8624659.87349623
2023-11-10,2380807.7196090976,266389.42627097503,3301.701089550402,8648868.359031554
2023-11-17,2387827.3423753944,267236.53065981006,3306.3913688935013,8673146.56057752
2023-11-24,2394872.674692036,268085.33109335415,3311.074374842974,8697494.702655505
2023-12-01,2401943.630728798,268935.8423522232,3315.750486261654,8721912.769296233
2023-12-08,2409040.1400120934,269788.083377665,3320.4200277180194,8746400.648155509
2023-12-15,2416162.1440853975,270642.0821216407,3325.083569798351,8770958.334402269
2023-12-22,2423309.589897895,271497.8726058701,3329.742008245662,8795586.075595286
2023-12-29,2430482.423181236,272355.48819004325,3334.3963571356153,8820284.312354494
2024-01-05,2437680.585208305,273214.95701616,3339.047509409732,8845053.484472498
2024-01-12,2444904.0153731685,274076.3010851586,3343.6961454525854,8869893.896426879
2024-01-19,2452152.6572025986,274939.53811891255,3348.3427505902746,8894805.703953352
2024-01-26,2459426.4626559187,275804.6855729415,3352.9877044908326,8919788.9691584
2024-02-02,2466725.392278975,276671.764454558,3357.631433841345,8944843.755375158
2024-02-09,2474049.412451756,277540.79984584206,3362.274521185568,8969970.226456879
2024-02-16,2481398.491730343,278411.8181652868,3366.917667302726,8995168.67150352
2024-02-23,2488772.5980440844,279284.84406162053,3371.5615653233363,9020439.432512525
2024-03-01,2496171.6984611927,280159.898942419,3376.206811477976,9045782.812955134
2024-03-08,2503595.7615778707,281037.0012092509,3380.853885986129,9071199.038479863
2024-03-15,2511044.7603680254,281916.167859516,3385.5031805829512,9096688.26832395
2024-03-22,2518518.673370075,282797.41669060977,3390.1550652112473,9122250.635514198
2024-03-29,2526017.4839390605,283680.7675281392,3394.8099625634322,9147886.301077692
2024-03-31,2533541.178470865,284566.2415917415,3399.468368176992,9173595.489523146
2024-04-05,2541089.744587243,285453.8598665289,3404.13080375551,9199378.47521717
2024-04-12,2548663.170252539,286343.6418577363,3408.797757748798,9225235.536219787
2024-04-19,2556261.444354411,287235.6052545196,3413.4696565441045,9251166.918511195
2024-04-26,2563884.558151057,288129.7664234388,3418.1468665244906,9277172.82872179
2024-05-03,2571532.5063675824,289026.1414674171,3422.8297194489487,9303253.447937688
2024-05-10,2579205.2872903557,289924.74719579465,3427.518552184786,9329408.957596717
